Descrição do Alimento,Preço(100g),Energia(kcal),Proteína(g),Lipídeos(g),Carboidrato(g),Fibra Alimentar(g),Cálcio(mg),Ferro(mg),Sódio(mg),VitaminaC(mg)
"Pão, glúten, forma",2.08,252.99,11.95,2.73,44.12,2.48,155.72,5.71,22.05,0.00
"Pão, milho, forma",31.12,292.01,8.30,3.11,56.40,4.30,77.85,3.04,506.64,0.00
"Pão, trigo, forma, integral",1.53,253.19,9.43,3.65,49.94,6.88,131.76,2.99,506.10,0.00
"Pão, trigo, francês",1.49,299.81,7.95,3.10,58.65,2.31,15.75,1.00,647.67,0.00
"Pastel, massa, frita",1.93,569.67,6.02,40.86,49.34,1.31,11.27,1.45,1174.67,0.00
"Pipoca, com óleo de soja, sem sal",2.84,448.33,9.93,15.94,70.31,14.34,2.83,1.16,4.32,0.00
"Polenta, pré-cozida",0.79,102.74,2.29,0.30,23.31,2.40,1.09,0.00,441.89,0.00
"Abóbora, moranga, refogada",0.15,29.00,0.39,0.80,5.98,1.55,19.08,0.11,3.03,6.73
"Abobrinha, paulista, crua",0.3,30.81,0.64,0.14,7.87,2.61,18.67,0.17,0.50,17.55
"Acelga, crua",0.45,20.94,1.44,0.11,4.63,1.12,42.99,0.27,1.18,22.55
"Agrião, cru",0.38,16.58,2.69,0.24,2.25,2.14,132.53,3.11,7.46,60.10
"Aipo, cru",0.99,19.09,0.76,0.07,4.27,0.96,65.22,0.72,9.52,5.88
"Alface, crespa, crua",1.82,10.68,1.35,0.16,1.70,1.83,37.98,0.40,3.38,15.58
"Alfavaca, crua",0.4,29.18,2.66,0.48,5.24,4.14,258.50,1.26,4.55,0.00
"Alho-poró, cru",1.5,31.51,1.41,0.14,6.88,2.51,33.62,0.64,1.76,14.15
"Batata, baroa, cozida",31.12,80.12,0.85,0.17,18.95,1.76,11.85,0.42,2.10,17.10
"Batata, doce, cozida",0.2,76.76,0.64,0.09,18.42,2.21,17.15,0.19,2.70,23.79
"Batata, frita, tipo chips, industrializada",7,542.73,5.58,36.62,51.22,2.46,11.60,0.70,607.40,0.00
"Batata, inglesa, cozida",0.55,51.59,1.16,0.00,11.94,1.34,3.52,0.19,2.29,3.76
"Batata, inglesa, frita",0.55,267.16,4.97,13.11,35.64,8.06,6.28,0.44,1.91,16.34
"Berinjela, crua",1.3,19.63,1.22,0.10,4.43,2.87,9.22,0.25,0.00,3.01
"Beterraba, cozida",30.12,32.15,1.29,0.09,7.23,1.88,15.26,0.24,22.76,1.24
"Beterraba, crua",0.41,48.83,1.95,0.09,11.11,3.37,18.11,0.32,9.72,3.12
"Brócolis, cozido",3.6,24.64,2.13,0.46,4.37,3.42,50.75,0.54,2.12,42.00
"Brócolis, cru",2.1,25.50,3.64,0.27,4.03,2.88,85.87,0.61,3.33,34.28
"Cebola, crua",30.12,39.42,1.71,0.08,8.85,2.19,14.00,0.20,0.60,4.67
"Cebolinha, crua",0.87,19.52,1.87,0.35,3.37,3.55,79.85,0.65,1.60,31.78
"Cenoura, cozida",0.4,29.86,0.85,0.22,6.69,2.63,25.62,0.09,7.88,0.00
"Cenoura, crua",0.4,34.14,1.32,0.17,7.66,3.18,22.54,0.18,3.33,5.12
"Chuchu, cozido",0.13,18.54,0.41,0.00,4.79,1.04,7.83,0.06,1.81,5.57
"Coentro, folhas desidratadas",3.99,309.07,20.88,10.39,47.96,37.29,783.81,81.43,18.26,40.77
"Couve, manteiga, refogada ",1.85,90.34,1.67,6.59,8.71,5.74,177.33,0.50,11.45,76.94
"Couve-flor, cozida",1.19,19.11,1.24,0.27,3.88,2.13,16.14,0.13,1.79,23.70
"Espinafre, Nova Zelândia, refogado",2,67.25,2.72,5.43,4.24,2.52,112.38,0.65,47.02,5.27
"Farinha, de mandioca, torrada",1.19,365.27,1.23,0.29,89.19,6.54,75.53,1.19,10.31,0.00
"Feijão, broto, cru",2.8,38.72,4.17,0.10,7.76,1.97,14.48,0.82,1.79,12.00
"Inhame, cru",31.12,96.70,2.05,0.21,23.23,1.65,11.80,0.36,0.00,5.62
"Jiló, cru",0.47,27.37,1.40,0.22,6.19,4.83,19.97,0.34,0.00,6.79
"Mandioca, cozida",0.29,125.36,0.58,0.30,30.09,1.56,18.63,0.07,0.91,11.07
"Mandioca, farofa, temperada",2.6,405.69,2.06,9.12,80.30,7.82,65.69,1.36,574.51,0.00
"Mandioca, frita",30.12,300.06,1.38,11.20,50.25,1.87,23.05,0.32,8.94,0.00
"Manjericão, cru",1.4,21.15,1.99,0.39,3.64,3.31,210.92,0.97,3.89,2.34
"Maxixe, cru",30.12,13.75,1.39,0.07,2.73,2.19,20.87,0.35,10.99,9.63
"Mostarda, folha, crua",1.1,18.11,2.11,0.17,3.24,1.89,68.18,1.10,2.88,38.55
"Nhoque, batata, cozido",31.12,180.78,5.86,1.94,36.78,1.78,11.42,1.65,7.07,0.00
"Nabo, cru",2,18.19,1.20,0.05,4.15,2.64,42.39,0.22,2.46,9.55
"Palmito, juçara, em conserva",8.6,23.20,1.79,0.40,4.33,3.15,58.29,0.30,513.82,1.98
"Palmito, pupunha, em conserva",6.1,29.43,2.46,0.45,5.51,2.55,32.44,0.18,562.69,8.66
"Pepino, cru",0.3,9.53,0.87,0.00,2.04,1.12,9.62,0.15,0.00,4.99
"Pimentão, amarelo, cru",1.59,27.93,1.22,0.44,5.96,1.92,9.61,0.41,0.00,201.36
"Pimentão, verde, cru",1.24,21.29,1.05,0.15,4.89,2.56,8.76,0.41,0.00,100.21
"Pimentão, vermelho, cru",1.49,23.28,1.04,0.15,5.47,1.59,6.37,0.33,0.00,158.21
"Polvilho, doce",0.17,351.23,0.43,0.00,86.77,0.24,27.41,0.51,1.58,0.00
"Quiabo, cru",1.35,29.94,1.92,0.30,6.37,4.55,112.16,0.37,0.89,5.60
"Rabanete, cru",1.72,13.74,1.39,0.07,2.73,2.19,20.87,0.35,10.99,9.63
"Repolho, branco, cru",1.3,17.12,0.88,0.14,3.86,1.89,34.55,0.15,3.64,18.72
"Repolho, roxo, refogado",30.12,41.77,1.80,1.24,7.56,1.75,42.59,0.47,3.42,40.52
"Rúcula, crua",0.72,13.13,1.77,0.11,2.22,1.74,116.56,0.94,9.42,46.29
"Salsa, crua",1.45,33.42,3.26,0.61,5.71,1.85,179.41,3.18,2.30,51.69
"Seleta de legumes, enlatada",2.51,56.53,3.42,0.35,12.67,3.09,16.16,1.06,398.14,0.00
"Serralha, crua",3.9,30.40,2.67,0.74,4.95,3.52,126.02,1.27,19.35,1.51
"Tomate, com semente, cru",30.12,15.34,1.10,0.17,3.14,1.17,6.94,0.24,1.02,21.21
"Tomate, extrato",1.23,60.93,2.43,0.19,14.96,2.80,29.08,2.09,497.93,18.01
"Tomate, molho industrializado",0.5,38.45,1.38,0.90,7.71,3.12,11.73,1.58,418.28,2.71
"Tomate, purê",0.58,27.94,1.36,0.00,6.89,1.03,13.24,1.25,103.93,5.38
"Tomate, salada",0.58,20.55,0.81,0.00,5.12,2.27,6.95,0.29,5.24,12.80
"Vagem, crua",1.99,24.90,1.79,0.17,5.35,2.38,41.10,0.43,0.00,1.15
"Abacate, cru",0.37,96.15,1.24,8.40,6.03,6.31,7.92,0.21,0.00,8.66
"Abacaxi, cru",1.19,48.32,0.86,0.12,12.33,0.99,22.43,0.26,0.00,34.62
"Açaí, polpa, com xarope de guaraná e glucose",1.9,110.30,0.72,3.66,21.46,1.72,22.16,0.27,15.10,10.27
"Açaí, polpa, congelada",1.1,58.05,0.80,3.94,6.21,2.55,35.18,0.43,5.18,0.00
"Acerola, crua",5.1,33.46,0.91,0.21,7.97,1.51,12.55,0.22,0.00,941.37
"Ameixa, crua",2.6,52.54,0.77,0.00,13.85,2.43,5.72,0.10,0.00,7.63
"Banana, maçã, crua",31.12,86.81,1.75,0.06,22.34,2.59,3.22,0.20,0.00,10.47
"Banana, nanica, crua",0.49,91.53,1.40,0.12,23.85,1.95,3.42,0.35,0.00,5.86
"Banana, ouro, crua",1.49,112.37,1.48,0.21,29.34,1.95,3.19,0.34,0.00,7.56
"Banana, prata, crua",0.37,98.25,1.27,0.07,25.96,2.04,7.56,0.38,0.00,21.59
"Cacau, cru",2.49,74.29,0.95,0.14,19.41,2.19,12.10,0.26,0.70,13.56
"Caju, cru",3.71,43.07,0.97,0.33,10.29,1.68,1.42,0.15,2.97,219.33
"Carambola, crua",0.7,45.74,0.87,0.18,11.48,2.03,4.79,0.20,4.09,60.87
"Figo, cru",3.33,41.45,0.97,0.16,10.25,1.79,27.39,0.20,0.00,0.79
"Goiaba, branca, com casca, crua",0.67,51.74,0.90,0.49,12.40,6.33,5.01,0.17,0.00,99.20
"Goiaba, vermelha, com casca, crua",0.93,54.17,1.09,0.44,13.01,6.22,4.45,0.17,0.00,80.60
"Graviola, crua",0.87,61.62,0.85,0.21,15.84,1.91,40.12,0.17,4.16,19.14
"Jabuticaba, crua",4.19,58.05,0.61,0.13,15.26,2.30,8.35,0.09,0.00,16.17
"Jaca, crua",1.39,87.92,1.40,0.27,22.50,2.39,11.25,0.38,1.80,14.82
"Kiwi, cru",2.31,51.14,1.34,0.63,11.50,2.65,23.91,0.25,0.00,70.78
"Laranja, baía, crua",1.77,45.44,0.98,0.10,11.47,1.12,35.41,0.14,0.00,56.87
"Laranja, da terra, crua",99,51.47,1.08,0.19,12.86,3.98,51.08,0.15,0.83,34.68
"Laranja, lima, crua",1.33,45.70,1.06,0.08,11.53,1.78,31.47,0.12,1.11,43.46
"Laranja, pêra, crua",0.83,36.77,1.04,0.13,8.95,0.77,21.89,0.09,0.00,53.73
"Laranja, valência, crua",0.25,46.11,0.77,0.16,11.72,1.73,33.74,0.09,0.63,47.85
"Limão, tahiti, cru",0.43,31.82,0.94,0.14,11.08,1.18,50.98,0.18,1.25,38.24
"Maçã, Argentina, com casca, crua",1.49,62.53,0.23,0.25,16.59,2.03,3.39,0.05,1.32,1.49
"Maçã, Fuji, com casca, crua",2,55.52,0.29,0.00,15.15,1.35,1.92,0.09,0.00,2.41
"Macaúba, crua",99,404.28,2.08,40.66,13.95,13.44,66.53,0.81,0.65,13.44
"Mamão, Formosa, cru",0.25,45.34,0.82,0.12,11.55,1.81,24.87,0.23,3.26,78.53
"Mamão, Papaia, cru",0.79,40.16,0.46,0.12,10.44,1.04,22.42,0.19,1.63,82.21
"Manga, Haden, crua",1.27,63.50,0.41,0.26,16.66,1.58,11.66,0.10,0.55,17.41
